CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,pha
0.03813,0.03811,11.32,11.32,24.7,68.0,0
0.04389,0.04269,6.55,6.54,26.9,25.0,0
0.04673,0.02335,23.01,23.01,24.1,89.0,0
0.04838,0.04837,15.58,15.58,24.8,65.0,0
0.03628,0.01617,4.61,4.6,24.2,86.0,0
0.04861,0.00437,9.62,9.62,28.5,12.0,1
0.04739,0.04739,10.84,10.84,22.2,220.0,0
0.04142,0.0193,13.89,13.89,23.4,120.0,0
0.01952,0.01951,7.65,7.63,22.2,220.0,0
0.03584,0.03559,18.77,18.76,21.3,330.0,1
0.03855,0.03792,4.43,4.42,25.9,39.0,0
0.0311,0.02956,11.08,11.07,20.7,440.0,1
0.02592,0.02568,13.01,13.0,23.9,99.0,0
0.01567,0.01514,18.22,18.21,23.8,110.0,0
0.02397,0.00433,6.61,6.59,25.3,52.0,1
0.03935,0.03934,8.61,8.61,24.3,82.0,0
0.02572,0.01005,4.6,4.58,26.7,27.0,0
0.04681,0.04675,12.24,12.24,23.3,130.0,0
0.01271,0.01189,8.88,8.86,22.1,230.0,0
0.01191,0.0119,16.96,16.94,21.0,370.0,1
0.01368,0.01367,12.04,12.02,20.3,510.0,1
0.01574,0.01573,19.95,19.94,21.2,350.0,1
0.04093,0.0222,10.07,10.06,28.5,12.0,0
0.02659,0.02657,17.72,17.72,21.5,300.0,1
0.04693,0.00418,5.52,5.51,27.9,15.0,1
0.04201,0.04097,16.59,16.58,23.7,110.0,0
0.02353,0.01024,12.84,12.83,27.0,24.0,0
0.02364,0.02358,15.28,15.27,20.9,390.0,1
0.04698,0.04446,5.88,5.87,25.8,41.0,0
0.04928,0.03534,7.84,7.83,24.9,61.0,0
0.04651,0.04649,17.23,17.22,19.9,630.0,1
0.04228,0.04227,5.99,5.98,23.9,99.0,0
0.03794,0.02276,4.44,4.42,26.3,33.0,0
0.03266,0.02457,8.32,8.31,25.6,45.0,0
0.04789,0.04788,7.23,7.22,25.6,45.0,0
0.04613,0.04612,11.78,11.78,20.3,510.0,1
0.02636,0.02609,13.88,13.87,24.8,65.0,0
0.01022,0.00654,6.27,6.23,27.1,23.0,1
0.02911,0.02353,10.12,10.11,25.7,43.0,0
0.01701,0.01695,11.86,11.85,21.8,260.0,1
0.03116,0.03102,18.06,18.06,20.4,500.0,1
0.02074,0.02074,11.09,11.08,23.7,110.0,0
0.04682,0.0468,14.32,14.31,23.3,130.0,0
0.04682,0.00166,13.61,13.6,19.1,910.0,1
0.04946,0.04888,13.38,13.38,22.1,230.0,0
0.01828,0.01256,14.26,14.25,25.3,52.0,0
0.03712,0.03702,8.66,8.65,25.2,54.0,0
0.03333,0.03299,1.75,1.7,27.5,19.0,0
0.04539,0.03436,15.07,15.06,25.3,51.0,0
0.04806,0.04717,22.11,22.11,22.9,160.0,0
0.03187,0.03186,18.76,18.76,23.8,100.0,0
0.01412,0.00306,12.87,12.86,28.4,12.0,1
0.03042,0.03024,14.66,14.65,21.1,360.0,1
0.04266,0.04263,9.35,9.34,25.8,41.0,0
0.02864,0.02502,7.51,7.49,25.7,43.0,0
0.01516,0.01488,20.2,20.19,19.3,820.0,1
0.04956,0.04885,6.29,6.28,28.5,12.0,0
0.00863,0.00848,9.15,9.12,22.5,190.0,1
0.02071,0.00191,7.18,7.16,26.9,25.0,1
0.01518,0.01143,7.95,7.93,26.2,34.0,0
0.04996,0.04992,5.34,5.33,25.8,41.0,0
0.02482,0.02482,13.27,13.26,21.9,240.0,1
0.0282,0.02819,20.71,20.7,20.2,540.0,1
0.03438,0.01454,11.05,11.04,26.9,25.0,0
0.03664,0.00038,9.85,9.85,28.0,15.0,1
0.04956,0.03111,4.1,4.08,24.3,82.0,0
0.0117,0.01031,10.56,10.53,22.9,160.0,0
0.0464,0.00185,9.71,9.71,28.0,15.0,1
0.04688,0.0468,18.84,18.83,20.8,410.0,1
0.0239,0.02388,16.31,16.3,21.5,300.0,1
0.01092,0.01026,4.85,4.8,22.5,190.0,0
0.01178,0.00944,9.22,9.2,25.5,47.0,1
0.04765,0.04747,13.52,13.51,23.0,150.0,0
0.01354,0.01353,11.5,11.48,25.4,48.0,0
0.03404,0.02721,9.65,9.64,23.7,110.0,0
0.01692,0.01519,10.67,10.66,22.7,170.0,0
0.03774,0.03774,17.4,17.39,20.5,480.0,1
0.03516,0.00378,13.09,13.09,24.0,94.0,1
0.03909,0.03194,7.06,7.05,27.4,20.0,0
0.01566,0.01421,15.3,15.29,27.6,18.0,0
0.04896,0.00088,14.32,14.32,26.1,36.0,1
0.02056,0.01875,7.11,7.09,26.9,25.0,0
0.03571,0.03532,5.27,5.26,24.1,92.0,0
0.04474,0.042,4.1,4.08,25.2,54.0,0
0.0169,0.01536,3.43,3.38,25.7,43.0,0
0.03623,0.03623,16.56,16.55,22.1,230.0,0
0.02665,0.02628,5.18,5.16,24.5,75.0,0
0.02585,0.02576,16.89,16.88,21.7,270.0,1
0.02235,0.02059,13.8,13.79,25.6,46.0,0
0.04071,0.04071,12.3,12.29,23.3,130.0,0
0.03822,0.00245,15.2,15.2,27.9,15.0,1
0.02594,0.02589,9.52,9.51,23.7,110.0,0
0.04723,0.0335,3.62,3.61,26.9,25.0,0
0.01762,0.00219,8.62,8.6,23.7,110.0,1
0.01684,0.00768,8.02,8.0,25.1,57.0,1
0.04583,0.01119,9.4,9.39,22.9,160.0,0
0.03543,0.03408,7.01,7.0,29.0,9.5,0
0.01429,0.0127,10.78,10.77,20.4,490.0,1
0.039,0.039,5.91,5.9,23.9,99.0,0
0.04582,0.04582,7.98,7.97,25.1,57.0,0
0.04484,0.04484,7.05,7.04,23.5,120.0,0
0.04062,0.0279,7.25,7.25,27.0,24.0,0
0.01129,0.01115,21.5,21.48,24.1,90.0,0
0.02405,0.02404,4.08,4.06,24.4,78.0,0
0.03393,0.03379,9.37,9.37,23.6,110.0,0
0.03636,0.0363,10.25,10.24,19.4,790.0,1
0.04966,0.04963,6.73,6.72,24.6,71.0,0
0.04214,0.02091,7.11,7.1,29.1,9.0,0
0.00466,0.00284,7.87,7.79,27.9,16.0,1
0.01611,0.01611,15.89,15.88,19.9,620.0,1
0.03568,0.0243,2.15,2.11,26.2,34.0,0
0.0368,0.02496,9.95,9.94,28.5,12.0,0
0.02189,0.02187,22.17,22.16,19.6,710.0,1
0.04932,0.00822,2.26,2.24,26.2,34.0,1
0.04632,0.00242,6.17,6.16,25.3,52.0,1
0.03254,0.016,7.45,7.44,25.8,41.0,0
0.02633,0.02624,15.76,15.75,19.8,650.0,1
0.02852,0.02852,19.22,19.22,22.7,170.0,0
0.03086,0.02515,7.08,7.07,26.0,38.0,0
0.04924,0.04918,16.56,16.56,19.5,750.0,1
0.02815,0.02756,13.51,13.51,24.8,65.0,0
0.04966,0.04966,6.21,6.21,24.4,78.0,0
0.01609,0.01608,9.54,9.53,21.2,340.0,1
0.03306,0.02833,4.69,4.67,24.3,82.0,0
0.01104,0.00194,6.91,6.87,27.0,24.0,1
0.0424,0.04208,5.51,5.5,24.8,65.0,0
0.00594,0.00516,10.43,10.39,26.8,26.0,1
0.0369,0.0369,3.03,3.0,25.1,57.0,0
0.02632,0.01757,4.05,4.03,27.2,22.0,0
0.04615,0.04613,12.15,12.15,23.9,99.0,0
0.0073,0.00601,22.95,22.94,21.7,270.0,1
0.02029,0.02028,18.22,18.21,20.0,590.0,1
0.02689,0.02675,18.65,18.65,23.8,100.0,0
0.021,0.0195,11.96,11.95,27.0,23.0,0
0.03439,0.0337,11.13,11.13,23.4,120.0,0
0.04327,0.04324,3.91,3.9,27.7,17.0,0
0.01055,0.00656,8.52,8.49,24.2,87.0,1
0.00956,0.00954,14.66,14.64,21.1,360.0,1
0.04785,0.04769,12.07,12.07,21.1,360.0,1
0.04411,0.0441,10.11,10.11,22.6,180.0,0
0.0164,0.00595,13.09,13.08,22.8,160.0,1
0.01728,0.01725,12.93,12.92,24.1,90.0,0
0.0352,0.03339,9.1,9.09,24.4,78.0,0
0.03379,0.03363,9.91,9.9,20.1,580.0,1
0.03648,0.03643,7.26,7.25,20.3,520.0,1
0.03707,0.01302,4.73,4.71,25.9,39.0,0
0.0452,0.04513,13.05,13.05,21.4,310.0,1
0.0432,0.04319,27.23,27.23,20.7,440.0,1
0.04464,0.04464,17.66,17.66,20.5,480.0,1
0.02549,0.022,12.71,12.7,25.2,54.0,0
0.03447,0.02476,6.36,6.35,23.6,110.0,0
0.00903,0.00903,7.23,7.19,20.8,410.0,1
0.03452,0.03386,6.65,6.64,22.3,210.0,0
0.02478,0.01619,8.51,8.5,27.4,20.0,0
0.0192,0.01853,8.34,8.32,28.4,12.0,0
0.0319,0.03176,12.31,12.3,22.4,190.0,0
0.01101,0.011,7.67,7.64,20.5,470.0,1
0.02765,0.02071,13.09,13.08,22.4,200.0,0
0.03573,0.0337,4.31,4.29,26.9,25.0,0
0.01408,0.01385,20.52,20.51,25.8,41.0,0
0.04129,0.02385,10.36,10.35,25.1,57.0,0
0.04518,0.03433,5.96,5.95,29.0,9.5,0
0.02099,0.02095,6.98,6.96,25.9,40.0,0
0.02304,0.00626,4.87,4.85,27.0,24.0,1
0.04532,0.04485,6.35,6.34,24.8,65.0,0
0.03886,0.00086,13.37,13.36,25.4,49.0,1
0.04409,0.04407,6.04,6.03,23.9,99.0,0
0.02712,0.02712,9.25,9.24,25.5,47.0,0
0.03532,0.0342,12.23,12.22,24.2,86.0,0
0.00808,0.00787,32.47,32.46,21.1,360.0,1
0.04267,0.01997,9.33,9.32,27.7,17.0,0
0.04236,0.04236,5.37,5.36,21.6,290.0,1
0.03325,0.03314,5.2,5.18,24.8,66.0,0
0.02722,0.02263,8.37,8.36,27.9,16.0,0
0.01505,0.01505,5.28,5.25,22.7,170.0,0
0.0487,0.04836,8.95,8.94,23.1,140.0,0
0.03222,0.03114,6.12,6.1,24.8,65.0,0
0.04408,0.01924,4.74,4.73,25.9,39.0,0
0.03444,0.03437,10.37,10.36,22.3,210.0,0
0.04667,0.04667,8.49,8.49,21.0,370.0,1
0.04555,0.03627,11.6,11.59,25.1,57.0,0
0.03188,0.03188,9.06,9.05,22.8,160.0,0
0.0407,0.0406,13.11,13.1,26.0,38.0,0
0.01758,0.01691,4.61,4.57,25.1,57.0,0
0.03121,0.03092,13.04,13.03,25.3,53.0,0
0.03389,0.03242,1.43,1.37,26.2,34.0,0
0.043,0.04279,4.92,4.9,20.0,590.0,1
0.04796,0.04792,14.74,14.73,19.6,710.0,1
0.04164,0.03526,10.74,10.73,26.8,26.0,0
0.04195,0.031,4.69,4.67,26.5,29.0,0
0.02734,0.02252,6.54,6.53,26.0,38.0,0
0.02196,0.02196,10.9,10.89,20.9,390.0,1
0.02855,0.02837,5.19,5.17,24.3,82.0,0
0.02102,0.02102,6.54,6.52,25.4,49.0,0
0.04626,0.04624,9.93,9.93,19.4,800.0,1
0.03992,0.03991,15.28,15.27,24.8,65.0,0
0.03115,0.0194,6.01,6.0,27.1,23.0,0
0.04213,0.03297,11.75,11.75,26.1,36.0,0
0.02065,0.01816,14.15,14.14,24.8,65.0,0
0.03286,0.03246,12.7,12.69,24.3,81.0,0
0.00759,0.00664,1.92,1.73,27.5,19.0,1
0.03295,0.03295,13.88,13.87,21.7,270.0,1
0.03226,0.03189,13.34,13.33,24.1,90.0,0
0.02405,0.02405,11.7,11.69,23.1,140.0,0
0.0291,0.0285,13.41,13.41,21.3,330.0,1
0.04073,0.04063,18.58,18.58,20.9,390.0,1
0.02376,0.02375,9.16,9.15,25.6,45.0,0
0.03732,0.02443,14.54,14.54,25.2,55.0,0
0.02959,0.02956,18.66,18.65,19.9,620.0,1
0.02911,0.02763,5.04,5.03,21.9,250.0,1
0.02579,0.02578,5.89,5.87,24.3,81.0,0
0.00927,0.0087,2.88,2.78,28.8,10.0,1
0.04778,0.04738,1.41,1.37,26.2,34.0,0
0.04312,0.04309,9.06,9.05,23.8,100.0,0
0.02127,0.02126,9.19,9.17,24.3,82.0,0
0.042,0.01971,15.85,15.85,24.9,62.0,0
0.0174,0.01298,5.21,5.18,26.1,36.0,0
0.02254,0.02215,7.37,7.36,25.4,49.0,0
0.0475,0.0475,12.33,12.32,19.6,720.0,1
0.04064,0.04057,16.03,16.03,21.5,300.0,1
0.04836,0.04499,10.24,10.23,24.3,82.0,0
0.04075,0.00775,10.07,10.06,28.5,12.0,1
0.02507,0.01819,3.67,3.64,25.8,42.0,0
0.03852,0.02631,7.59,7.58,26.2,34.0,0
0.04828,0.04828,22.68,22.68,19.5,750.0,1
0.04155,0.04151,8.6,8.59,22.6,180.0,0
0.03666,0.03438,5.0,4.99,26.9,25.0,0
0.0401,0.04009,7.45,7.44,23.8,100.0,0
0.04002,0.03715,5.49,5.47,23.9,99.0,0
0.00638,0.00313,12.66,12.63,27.1,22.0,1
0.04909,0.04908,23.73,23.73,18.9,970.0,1
0.03931,0.03726,10.48,10.47,22.2,220.0,0
0.03083,0.03083,14.91,14.9,21.6,280.0,1
0.01934,0.01933,7.94,7.92,20.8,410.0,1
0.04099,0.04098,14.34,14.34,22.4,200.0,0
0.04706,0.04398,7.2,7.19,26.2,34.0,0
0.03692,0.03392,5.11,5.09,25.2,54.0,0
0.03929,0.03922,5.71,5.69,22.9,160.0,0
0.01929,0.01904,6.85,6.83,27.1,23.0,0
0.03818,0.03817,14.12,14.12,23.3,130.0,0
0.03611,0.0359,5.8,5.79,25.7,43.0,0
0.01156,0.01154,6.4,6.37,25.2,54.0,0
0.03841,0.03775,5.9,5.89,24.7,68.0,0
0.00715,0.00715,8.28,8.24,24.2,87.0,1
0.01953,0.01877,8.92,8.91,23.4,130.0,0
0.03765,0.03764,16.33,16.32,20.6,460.0,1
0.02533,0.02532,6.68,6.66,22.0,240.0,1
0.0272,0.02654,5.26,5.25,24.8,65.0,0
0.04103,0.04103,7.19,7.18,22.2,210.0,0
0.04845,0.04434,6.01,6.0,25.9,39.0,0
0.04212,0.04123,4.2,4.19,26.8,26.0,0
0.04445,0.04444,13.14,13.13,20.7,440.0,1
0.04771,0.04768,6.43,6.42,24.4,79.0,0
0.01815,0.01728,9.92,9.9,24.2,86.0,0
0.02423,0.02152,9.61,9.6,23.7,110.0,0
0.04099,0.03466,9.24,9.23,27.0,24.0,0
0.03465,0.03465,20.84,20.84,21.0,380.0,1
0.03476,0.03475,13.96,13.95,23.3,130.0,0
0.04028,0.029,5.86,5.85,24.3,82.0,0
0.04219,0.01786,6.85,6.84,26.6,28.0,0
0.04153,0.03213,11.99,11.98,25.5,47.0,0
0.04978,0.04977,19.08,19.08,20.7,430.0,1
0.02942,0.02942,12.41,12.4,21.8,260.0,1
0.04972,0.03447,8.07,8.07,28.1,14.0,0
0.02896,0.02828,2.72,2.69,27.5,19.0,0
0.01816,0.00941,8.27,8.26,23.1,140.0,1
0.02685,0.02487,4.08,4.05,26.1,36.0,0
0.00852,0.00701,6.38,6.33,24.3,82.0,1
0.04024,0.03385,4.15,4.14,22.8,160.0,0
0.02037,0.02037,10.26,10.25,20.0,600.0,1
0.01368,0.01313,3.89,3.84,27.7,17.0,0
0.02915,0.02911,13.84,13.83,21.4,310.0,1
0.04939,0.04938,8.48,8.47,22.7,170.0,0
0.04329,0.04319,3.56,3.55,24.9,62.0,0
0.0478,0.04266,7.07,7.07,24.0,93.0,0
0.04209,0.0384,15.09,15.09,22.1,230.0,0
0.04591,0.04591,16.61,16.6,22.4,200.0,0
0.03621,0.03504,10.36,10.36,22.2,220.0,0
0.02882,0.02624,9.55,9.54,23.9,99.0,0
0.04351,0.02716,3.44,3.42,26.5,29.0,0
0.03602,0.03344,9.63,9.62,23.7,110.0,0
0.02614,0.0261,8.74,8.73,23.7,110.0,0
0.03975,0.02057,12.27,12.26,22.9,160.0,0
0.02527,0.00862,9.29,9.27,27.8,16.0,1
0.02467,0.00998,9.17,9.16,30.7,4.3,1
0.02096,0.02027,18.08,18.07,22.2,220.0,0
0.04041,0.00987,17.4,17.39,25.7,43.0,1
0.04126,0.04118,4.7,4.68,21.9,250.0,1
0.03396,0.01145,11.59,11.59,28.4,12.0,0
0.01074,0.01035,11.18,11.16,25.2,54.0,0
0.04347,0.04326,16.93,16.93,23.0,150.0,0
0.03045,0.00976,8.24,8.23,23.7,110.0,1
0.02511,0.02498,9.68,9.67,22.1,230.0,0
0.04938,0.03195,7.92,7.92,25.5,47.0,0
0.02202,0.02202,15.86,15.85,20.3,520.0,1
0.01889,0.01572,9.24,9.22,26.0,38.0,0
0.0479,0.0467,6.97,6.96,24.8,65.0,0
0.04327,0.04326,12.4,12.39,21.7,270.0,1
0.03811,0.038,15.98,15.97,22.5,190.0,0
0.04752,0.04288,10.26,10.26,23.1,140.0,0
0.00782,0.00047,11.29,11.26,24.0,92.0,1
0.03326,0.03171,5.73,5.71,24.9,63.0,0
0.01294,0.00044,9.89,9.87,24.7,68.0,1
0.01326,0.01288,8.16,8.14,26.6,28.0,0
0.04348,0.03433,10.56,10.55,23.3,130.0,0
0.03518,0.03518,19.06,19.05,23.8,100.0,0
0.03532,0.03106,3.76,3.74,27.7,17.0,0
0.00763,0.00762,12.85,12.82,21.3,330.0,1
0.022,0.02089,13.74,13.73,24.0,93.0,0
0.04891,0.0489,11.17,11.16,24.0,93.0,0
0.0332,0.03309,15.96,15.96,23.1,140.0,0
0.04891,0.0489,15.42,15.42,21.0,380.0,1
0.03822,0.03268,8.29,8.28,25.8,42.0,0
0.01428,0.01384,8.97,8.95,23.4,120.0,0
0.02758,0.02758,9.07,9.06,22.3,200.0,0
0.03327,0.03326,6.78,6.76,23.7,110.0,0
0.02931,0.0293,19.24,19.24,22.7,170.0,0
0.03732,0.03732,7.1,7.09,25.3,51.0,0
0.02932,0.0249,5.63,5.61,26.1,36.0,0
0.03622,0.03123,15.65,15.65,24.0,94.0,0
0.04472,0.03864,3.73,3.72,25.8,41.0,0
0.03136,0.03136,5.06,5.04,25.4,48.0,0
0.048,0.04799,3.81,3.8,25.3,52.0,0
0.02882,0.01061,7.55,7.54,26.2,34.0,0
0.04013,0.03982,12.45,12.44,23.1,140.0,0
0.04885,0.04884,6.05,6.04,21.5,300.0,1
0.00755,0.00158,9.01,8.97,25.1,58.0,1
0.03852,0.03023,8.84,8.83,25.6,45.0,0
0.04322,0.04321,28.05,28.05,19.4,790.0,1
0.04227,0.04223,17.99,17.98,21.3,330.0,1
0.00298,0.00153,10.74,10.66,30.4,5.1,1
0.03746,0.03029,7.05,7.04,24.8,66.0,0
0.03349,0.03348,14.72,14.72,25.5,48.0,0
0.02962,0.01084,10.62,10.61,21.4,310.0,1
0.03696,0.03582,11.93,11.92,25.6,45.0,0
0.03482,0.02925,7.85,7.84,27.7,17.0,0
0.03347,0.03324,12.99,12.99,22.4,200.0,0
0.04293,0.04047,11.12,11.11,23.8,100.0,0
0.04475,0.0443,14.38,14.37,21.1,360.0,1
0.01328,0.01328,7.37,7.34,22.7,170.0,0
0.02193,0.00314,4.47,4.45,29.8,6.5,1
0.02868,0.02799,14.13,14.13,23.7,110.0,0
0.03749,0.03748,25.92,25.92,21.5,300.0,1
0.03473,0.03434,7.07,7.06,20.2,540.0,1
0.04494,0.04416,6.69,6.68,24.7,68.0,0
0.03064,0.0262,9.6,9.59,22.9,160.0,0
0.04988,0.03687,15.88,15.88,25.0,59.0,0
0.02057,0.0204,6.65,6.63,24.1,89.0,0
0.01559,0.01542,3.19,3.13,27.8,16.0,0
0.02777,0.02774,5.07,5.05,25.6,45.0,0
0.03179,0.00196,17.62,17.62,23.8,100.0,1
0.02805,0.02533,22.98,22.98,24.9,62.0,0
0.04598,0.04594,6.02,6.01,25.7,43.0,0
0.04872,0.04862,15.21,15.21,21.3,330.0,1
0.00707,0.00294,5.93,5.87,28.4,12.0,1
0.04312,0.03234,7.22,7.21,25.3,53.0,0
0.0434,0.04324,15.46,15.46,22.4,200.0,0
0.03352,0.03099,8.52,8.51,26.2,34.0,0
0.02787,0.02787,8.47,8.46,21.1,370.0,1
0.04929,0.03866,8.19,8.18,26.2,34.0,0
0.01763,0.00269,9.31,9.29,27.4,20.0,1
0.04537,0.04535,19.25,19.24,21.5,300.0,1
0.02531,0.02531,9.39,9.38,26.3,32.0,0
0.04035,0.00597,5.8,5.79,27.5,19.0,1
0.01207,0.01201,21.09,21.08,21.1,360.0,1
0.00857,0.00715,11.82,11.79,26.3,33.0,1
0.03923,0.03923,13.66,13.65,22.8,160.0,0
0.03198,0.03197,20.12,20.12,20.3,510.0,1
0.0402,0.04006,5.02,5.01,24.8,66.0,0
0.04778,0.04764,9.81,9.81,20.9,390.0,1
0.0208,0.00739,1.43,1.34,28.7,11.0,1
0.03242,0.03228,13.79,13.79,21.3,330.0,1
0.03153,0.03152,1.61,1.55,27.5,19.0,0
0.01237,0.00587,14.37,14.35,25.2,55.0,1
0.0327,0.02461,9.88,9.87,29.3,8.2,0
0.03913,0.02746,7.17,7.17,23.6,110.0,0
0.01138,0.00463,15.19,15.17,28.0,15.0,1
0.02748,0.02183,10.54,10.53,24.5,75.0,0
0.0059,0.00528,7.3,7.23,24.0,94.0,1
0.04715,0.04658,5.24,5.23,24.0,94.0,0
0.02616,0.02602,7.22,7.21,26.0,38.0,0
0.03969,0.03857,2.28,2.25,25.0,59.0,0
0.04383,0.04382,5.78,5.77,24.1,90.0,0
0.01809,0.01693,8.06,8.04,23.6,110.0,0
0.0372,0.02847,8.7,8.69,24.4,77.0,0
0.02053,0.01743,7.92,7.9,23.7,110.0,0
0.02477,0.02477,4.61,4.58,25.4,48.0,0
0.03263,0.01344,5.63,5.62,24.7,68.0,0
0.03189,0.03188,9.75,9.74,24.1,90.0,0
0.04948,0.04932,9.17,9.17,20.6,460.0,1
0.04039,0.02741,16.27,16.27,25.1,56.0,0
0.01642,0.01642,13.44,13.43,22.6,180.0,0
0.03794,0.03794,15.2,15.2,24.8,65.0,0
0.00911,0.00814,5.65,5.6,25.9,39.0,1
0.0441,0.04359,12.46,12.46,23.1,140.0,0
0.04954,0.04951,13.87,13.86,24.4,78.0,0
0.02519,0.02213,8.73,8.72,26.1,36.0,0
0.02322,0.02308,4.15,4.12,27.7,17.0,0
0.03049,0.03048,10.41,10.4,22.1,230.0,0
0.0429,0.00892,10.39,10.38,27.9,16.0,1
0.03513,0.01595,13.99,13.98,26.2,35.0,0
0.02032,0.02029,10.66,10.64,24.7,68.0,0
0.01561,0.01471,10.17,10.16,25.5,47.0,0
0.04094,0.04092,10.13,10.12,25.0,59.0,0
0.04344,0.03009,8.98,8.97,24.1,90.0,0
0.03752,0.02802,8.94,8.93,23.4,130.0,0
0.02116,0.0203,17.3,17.29,26.9,25.0,0
0.01066,0.01066,7.26,7.22,22.7,170.0,0
0.04308,0.04308,8.5,8.49,24.3,82.0,0
0.02669,0.02222,12.71,12.7,25.2,54.0,0
0.01102,0.01089,10.6,10.58,26.0,38.0,0
0.0184,0.01604,6.13,6.1,25.2,54.0,0
0.04199,0.03015,16.13,16.12,25.5,47.0,0
0.03838,0.03793,7.91,7.9,23.1,140.0,0
0.04841,0.02328,13.46,13.45,24.3,82.0,0
0.03364,0.02718,7.23,7.22,26.0,38.0,0
0.04061,0.03623,6.75,6.74,26.4,31.0,0
0.02235,0.00879,17.13,17.12,22.3,210.0,1
0.02622,0.01866,5.94,5.93,27.3,21.0,0
0.02808,0.02808,7.88,7.87,23.8,100.0,0
0.02454,0.02428,7.86,7.84,25.0,59.0,0
0.03004,0.01081,6.46,6.44,27.1,22.0,0
0.00813,0.00366,3.52,3.43,26.1,35.0,1
0.03964,0.0396,8.93,8.92,22.3,210.0,0
0.01142,0.01142,19.91,19.89,21.0,370.0,1
0.03401,0.02787,8.8,8.79,26.9,24.0,0
0.04448,0.04442,10.79,10.78,22.0,240.0,1
0.03924,0.03924,20.27,20.27,22.2,220.0,0
0.02974,0.00199,12.19,12.18,25.8,41.0,1
0.01221,0.01198,3.71,3.65,24.7,68.0,0
0.03924,0.02037,7.4,7.39,27.7,17.0,0
0.03687,0.03687,9.03,9.03,21.8,260.0,1
0.0073,0.0073,9.81,9.77,20.9,390.0,1
0.0313,0.00502,14.14,14.13,28.0,15.0,1
0.04263,0.04263,19.88,19.88,20.2,540.0,1
0.0489,0.0489,9.89,9.88,23.7,110.0,0
0.03911,0.03911,5.74,5.73,24.1,90.0,0
0.04315,0.04311,10.98,10.97,25.2,54.0,0
0.04584,0.02776,6.87,6.86,25.5,47.0,0
0.0316,0.01708,5.53,5.52,27.7,17.0,0
0.03829,0.03529,6.56,6.55,25.1,58.0,0
0.04219,0.03583,12.52,12.51,22.1,230.0,0
0.0237,0.0237,18.03,18.03,21.6,290.0,1
0.03261,0.03116,6.74,6.72,28.8,10.0,0
0.02512,0.00705,18.32,18.31,24.8,65.0,1
0.0202,0.01652,13.38,13.37,22.3,210.0,0
0.02597,0.02534,17.28,17.27,20.6,450.0,1
0.02182,0.01993,4.1,4.07,25.8,41.0,0
